t,theta,theta_dot,voltage
4.742000,0.398835,2.511477,-3.000000
4.743000,0.398835,2.222696,-3.000000
4.744000,0.398835,1.882863,-3.000000
4.745000,0.398835,1.632235,-3.000000
4.746000,0.398835,1.440942,-3.000000
4.747000,0.401903,1.289807,-3.000000
4.748000,0.401903,1.166733,-3.000000
4.749000,0.401903,1.065076,-3.000000
4.750000,0.401903,0.980189,-3.000000
4.751000,0.401903,0.907820,-3.000000
4.752000,0.401903,0.845012,-3.000000
4.753000,0.398835,-0.790872,-3.000000
4.754000,0.398835,-0.742796,-3.000000
4.755000,0.398835,-0.700314,-3.000000
4.756000,0.398835,-0.662724,-3.000000
4.757000,0.395767,-1.613154,-3.000000
4.758000,0.395767,-1.613154,-3.000000
4.759000,0.392699,-1.613154,-3.000000
4.760000,0.392699,-1.613154,-3.000000
4.761000,0.389631,-1.613154,-3.000000
4.762000,0.389631,-1.613154,-3.000000
4.763000,0.386563,-1.613154,-3.000000
4.764000,0.383495,-0.653413,-3.000000
4.765000,0.383495,-0.653413,-3.000000
4.766000,0.380427,-0.653413,-3.000000
4.767000,0.377359,-0.653413,-3.000000
4.768000,0.374291,-0.653413,-3.000000
4.769000,0.371223,-2.092302,-3.000000
4.770000,0.368155,-2.092302,-3.000000
4.771000,0.368155,-2.092302,-3.000000
4.772000,0.362019,-2.092302,-3.000000
4.773000,0.358952,-2.776244,-3.000000
4.774000,0.355884,-2.776244,-3.000000
4.775000,0.352816,-2.776244,-3.000000
4.776000,0.349748,-2.776244,-3.000000
4.777000,0.346680,-3.323489,-3.000000
4.778000,0.343612,-3.323489,-3.000000
4.779000,0.337476,-3.323489,-3.000000
4.780000,0.334408,-3.783050,-3.000000
4.781000,0.328272,-3.783050,-3.000000
4.782000,0.325204,-3.783050,-3.000000
4.783000,0.319068,-4.202107,-3.000000
4.784000,0.316000,-4.202107,-3.000000
4.785000,0.309864,-4.561412,-3.000000
4.786000,0.306796,-4.561412,-3.000000
4.787000,0.300660,-4.561412,-3.000000
4.788000,0.294524,-4.886127,-3.000000
4.789000,0.291456,-4.886127,-3.000000
4.790000,0.285320,-5.199384,-3.000000
4.791000,0.279185,-5.199384,-3.000000
4.792000,0.273049,-5.475142,-3.000000
4.793000,0.266913,-5.475142,-3.000000
4.794000,0.260777,-5.744126,-3.000000
4.795000,0.254641,-5.744126,-3.000000
4.796000,0.248505,-5.990772,-3.000000
4.797000,0.242369,-5.990772,-3.000000
4.798000,0.236233,-6.222914,-3.000000
4.799000,0.230097,-6.222914,-3.000000
4.800000,0.223961,-6.450144,-3.000000
4.801000,0.217825,-6.450144,3.000000
4.802000,0.208621,-6.641907,3.000000
4.803000,0.202485,-6.641907,3.000000
4.804000,0.196350,-6.259549,3.000000
4.805000,0.190214,-6.259549,3.000000
