t,alpha,alpha_dot
4.254,-2.85014,-3.81582
4.255,-2.8532,-3.81582
4.256,-2.85627,-3.81582
4.257,-2.86241,-3.93732
4.258,-2.86548,-3.93732
4.259,-2.86854,-3.93732
4.26,-2.87468,-4.0401
4.261,-2.87775,-4.0401
4.262,-2.88082,-4.0401
4.263,-2.88695,-4.14096
4.264,-2.89002,-4.14096
4.265,-2.89309,-4.14096
4.266,-2.89922,-4.24646
4.267,-2.90229,-4.24646
4.268,-2.90843,-4.32865
4.269,-2.9115,-4.32865
4.27,-2.91456,-4.32865
4.271,-2.9207,-4.40542
4.272,-2.92377,-4.40542
4.273,-2.9299,-4.40542
4.274,-2.93297,-4.48139
4.275,-2.93911,-4.48139
4.276,-2.94218,-4.48139
4.277,-2.94831,-4.54836
4.278,-2.95138,-4.54836
4.279,-2.95751,-4.60571
4.28,-2.96058,-4.60571
4.281,-2.96672,-4.60571
4.282,-2.96979,-4.65943
4.283,-2.97592,-4.65943
4.284,-2.97899,-4.65943
4.285,-2.98513,-4.71755
4.286,-2.99126,-4.71755
4.287,-2.99433,-4.76007
4.288,-3.00047,-4.76007
4.289,-3.00353,-4.76007
4.29,-3.00967,-4.80555
4.291,-3.01274,-4.80555
4.292,-3.01887,-4.8412
4.293,-3.02501,-4.8412
4.294,-3.02808,-4.8412
4.295,-3.03421,-4.8793
4.296,-3.03728,-4.8793
4.297,-3.04342,-4.92145
4.298,-3.04955,-4.92145
4.299,-3.05262,-4.92145
4.3,-3.05876,-4.94108
4.301,-3.06183,-4.94108
4.302,-3.06796,-4.96836
4.303,-3.0741,-4.96836
4.304,-3.07717,-4.96836
4.305,-3.0833,-5.00296
4.306,-3.08944,-5.00296
4.307,-3.09251,-5.00557
4.308,-3.09864,-5.00557
4.309,-3.10171,-5.00557
4.31,-3.10785,-5.01768
4.311,-3.11398,-5.01768
4.312,-3.11705,-5.00528
4.313,-3.12318,-5.00528
4.314,-3.12932,-4.95707
4.315,-3.13239,-4.95707
4.316,-3.13852,-4.95707
4.317,-3.14159,-4.88272
4.318,3.13546,-4.88272
4.319,3.13239,-4.84343
4.32,3.12625,-4.78336
4.321,3.12318,-4.78336
4.322,3.11705,-4.65185
4.323,3.11091,-4.65185
4.324,3.10785,-4.65185
4.325,3.10171,-5.06918
4.326,3.09557,-5.06918
4.327,3.09251,-5.06993
4.328,3.08637,-5.06993
4.329,3.0833,-4.94713
4.33,3.07717,-4.85229
4.331,3.07103,-4.85229
4.332,3.06796,-4.95265
4.333,3.06183,-4.95265
4.334,3.05876,-4.95052
4.335,3.05262,-4.89946
4.336,3.04649,-4.89946
4.337,3.04342,-4.93365
4.338,3.03728,-4.93365
4.339,3.03421,-4.93277
4.34,3.02808,-4.87865
4.341,3.02194,-4.87865
4.342,3.01887,-4.86268
4.343,3.01274,-4.86268
4.344,3.00967,-4.86268
4.345,3.00353,-4.82655
4.346,3.00047,-4.82655
4.347,2.99433,-4.79686
4.348,2.98819,-4.79686
4.349,2.98513,-4.79686
4.35,2.97899,-4.74389
4.351,2.97592,-4.74389
4.352,2.96979,-4.68828
4.353,2.96672,-4.68828
4.354,2.96058,-4.68828
4.355,2.95751,-4.64435
4.356,2.95138,-4.64435
4.357,2.94831,-4.64435
4.358,2.94218,-4.57812
4.359,2.93911,-4.57812
4.36,2.93297,-4.51067
4.361,2.9299,-4.51067
4.362,2.92377,-4.51067
4.363,2.9207,-4.44845
4.364,2.91763,-4.44845
4.365,2.9115,-4.44845
4.366,2.90843,-4.37014
4.367,2.90229,-4.37014
4.368,2.89922,-4.37014
4.369,2.89616,-4.28247
4.37,2.89002,-4.28247
4.371,2.88695,-4.28247
4.372,2.88082,-4.20521
4.373,2.87775,-4.20521
4.374,2.87468,-4.20521
4.375,2.86854,-4.11071
4.376,2.86548,-4.11071
4.377,2.86241,-4.11071
4.378,2.85934,-4.00524
4.379,2.8532,-4.00524
4.38,2.85014,-4.00524
4.381,2.84707,-3.90133
4.382,2.844,-3.90133
4.383,2.83786,-3.90133
4.384,2.8348,-3.78645
4.385,2.83173,-3.78645
4.386,2.82866,-3.78645
4.387,2.82559,-3.71008
4.388,2.81946,-3.66137
4.389,2.81639,-3.66137
4.39,2.81332,-3.66137
4.391,2.81025,-3.52884
4.392,2.80718,-3.52884
4.393,2.80412,-3.52884
4.394,2.80105,-3.52724
4.395,2.79798,-3.40067
4.396,2.79491,-3.40067
4.397,2.78878,-3.40067
4.398,2.78571,-3.24596
4.399,2.78264,-3.24596
4.4,2.77957,-3.24596
4.401,2.77651,-3.24596
4.402,2.77344,-3.08177
4.403,2.77037,-3.08177
4.404,2.7673,-3.08177
4.405,2.7673,-3.08177
4.406,2.76423,-2.98577
4.407,2.76117,-2.91128
4.408,2.7581,-2.91128
4.409,2.75503,-2.91128
4.41,2.75196,-2.91128
4.411,2.74889,-2.70707
4.412,2.74583,-2.70707
4.413,2.74583,-2.70707
4.414,2.74276,-2.70707
4.415,2.73969,-2.70707
4.416,2.73662,-2.48109
4.417,2.73355,-2.48109
4.418,2.73355,-2.48109
4.419,2.73049,-2.48109
4.42,2.72742,-2.48109
4.421,2.72742,-2.26963
4.422,2.72435,-2.22513
4.423,2.72128,-2.22513
4.424,2.72128,-2.22513
4.425,2.71821,-2.22513
4.426,2.71515,-2.22513
4.427,2.71515,-2.08278
4.428,2.71208,-1.91902
4.429,2.71208,-1.91902
4.43,2.70901,-1.91902
4.431,2.70901,-1.91902
4.432,2.70594,-1.91902
4.433,2.70594,-1.91902
4.434,2.70287,-1.88558
4.435,2.70287,-1.6338
4.436,2.69981,-1.55475
4.437,2.69981,-1.55475
4.438,2.69674,-1.55475
4.439,2.69674,-1.55475
4.44,2.69674,-1.55475
4.441,2.69367,-1.55475
4.442,2.69367,-1.55475
4.443,2.69367,-1.55475
4.444,2.6906,-1.42534
4.445,2.6906,-1.2773
4.446,2.6906,-1.15657
4.447,2.6906,-1.05711
4.448,2.68753,-1.04612
4.449,2.68753,-1.04612
4.45,2.68753,-1.04612
4.451,2.68753,-1.04612
4.452,2.68753,-1.04612
4.453,2.68447,-1.04612
4.454,2.68447,-1.04612
4.455,2.68447,-1.04612
4.456,2.68447,-1.04612
4.457,2.68447,-1.04612
4.458,2.68447,-1.04612
4.459,2.68447,-1.03326
4.46,2.68447,-0.952461
4.461,2.68447,-0.883995
4.462,2.68447,-0.824452
4.463,2.68447,-0.77244
4.464,2.68447,-0.726773
4.465,2.68447,-0.686413
4.466,2.68447,-0.649789
