t,theta,theta_dot,voltage
0.349,12.0141,45.9931,2
0.35,12.0602,46.005,2
0.351,12.1062,46.0626,2
0.352,12.1522,46.0842,2
0.353,12.1982,46.0266,2
0.354,12.2442,46.0458,2
0.355,12.2903,46.1299,2
0.356,12.3363,46.2047,2
0.357,12.3854,46.2531,2
0.358,12.4344,46.2531,2
0.359,12.4805,46.1782,2
0.36,12.5265,46.2386,2
0.361,12.5725,46.3064,2
0.362,12.6185,46.2362,2
0.363,12.6645,46.321,2
0.364,12.7106,46.2701,2
0.365,12.7566,46.3745,2
0.366,12.8026,46.3331,2
0.367,12.8486,46.3502,2
0.368,12.8946,46.4696,2
0.369,12.9437,46.4183,2
0.37,12.9897,46.4623,2
0.371,13.0358,46.4965,2
0.372,13.0818,46.4525,2
0.373,13.1278,46.5823,2
0.374,13.1738,46.5185,2
0.375,13.2229,46.5577,2
0.376,13.2689,46.5749,2
0.377,13.315,46.6216,2
0.378,13.361,46.6462,2
0.379,13.407,46.6585,2
0.38,13.4561,46.6807,2
0.381,13.5021,46.6906,2
0.382,13.5481,46.7672,2
0.383,13.5941,46.7326,2
0.384,13.6432,46.7079,2
0.385,13.6892,46.8093,2
0.386,13.7353,46.8044,2
0.387,13.7813,46.8416,2
0.388,13.8273,46.849,2
0.389,13.8764,46.9112,2
0.39,13.9224,46.9262,2
0.391,13.9684,46.9536,2
0.392,14.0175,46.9586,2
0.393,14.0635,46.9661,2
0.394,14.1096,46.9811,2
0.395,14.1586,46.9686,2
0.396,14.2047,47.0161,2
0.397,14.2507,47.0912,2
0.398,14.2998,47.0286,2
0.399,14.3458,47.1339,2
0.4,14.3918,47.0511,2
0.401,14.4409,47.1742,2
0.402,14.4869,47.1616,2
0.403,14.5329,47.1415,2
0.404,14.582,47.1792,2
0.405,14.628,47.1038,2
0.406,14.6741,47.1767,2
0.407,14.7231,47.1541,2
0.408,14.7692,47.1616,2
0.409,14.8183,47.2954,2
0.41,14.8643,47.2676,2
0.411,14.9103,47.3005,2
0.412,14.9594,47.2878,2
0.413,15.0054,47.3106,2
0.414,15.0545,47.3486,2
0.415,15.1005,47.3233,2
0.416,15.1496,47.3969,2
0.417,15.1956,47.3537,2
0.418,15.2416,47.3512,2
0.419,15.2907,47.3689,2
0.42,15.3367,47.4682,2
0.421,15.3858,47.4274,2
0.422,15.4318,47.4631,2
0.423,15.4809,47.4427,2
0.424,15.527,47.4351,2
0.425,15.576,47.5499,2
0.426,15.6221,47.4427,2
0.427,15.6711,47.5679,2
0.428,15.7172,47.532,2
0.429,15.7663,47.5397,2
0.43,15.8123,47.5448,2
0.431,15.8614,47.5397,2
0.432,15.9074,47.5371,2
0.433,15.9565,47.6422,2
0.434,16.0025,47.5781,2
0.435,16.0516,47.6294,2
0.436,16.0976,47.6243,2
0.437,16.1467,47.632,2
0.438,16.1927,47.632,2
0.439,16.2418,47.6243,2
0.44,16.2878,47.6422,2
0.441,16.3369,47.5781,2
0.442,16.3829,47.6345,2
0.443,16.432,47.6988,2
0.444,16.478,47.6602,2
0.445,16.5271,47.5909,2
0.446,16.5731,47.7143,2
0.447,16.6222,47.7478,2
0.448,16.6713,47.7143,2
0.449,16.7173,47.573,2
0.45,16.7664,47.8046,2
0.451,16.8124,47.6885,2
0.452,16.8615,47.6499,2
0.453,16.9075,47.7297,2
0.454,16.9566,47.7478,2
0.455,17.0026,47.7659,2
0.456,17.0517,47.7762,2
0.457,17.1008,47.8046,2
0.458,17.1499,47.8564,2
0.459,17.199,47.7555,2
0.46,17.245,47.7943,2
0.461,17.2941,47.7297,2
0.462,17.3401,47.7607,2
0.463,17.3892,47.8305,2
0.464,17.4383,47.8435,2
0.465,17.4843,47.8098,2
0.466,17.5334,47.7839,2
0.467,17.5794,47.8746,2
0.468,17.6285,47.9005,2
0.469,17.6776,47.7684,2
0.47,17.7236,47.9629,2
0.471,17.7727,47.8875,2
0.472,17.8187,47.8435,2
0.473,17.8678,47.8979,2
0.474,17.9169,47.8409,2
0.475,17.9629,47.9785,2
0.476,18.012,47.9343,2
0.477,18.058,47.9525,2
0.478,18.1071,47.9681,2
0.479,18.1562,47.9109,2
