t,alpha,alpha_dot
0.329,-3.14159,-0
0.33,-3.14159,-0
0.331,-3.14159,-0
0.332,-3.14159,-0
0.333,-3.14159,-0
0.334,-3.14159,-0
0.335,-3.14159,-0
0.336,-3.14159,-0
0.337,-3.14159,-0
0.338,-3.14159,-0
0.339,-3.14159,-0
0.34,-3.14159,-0
0.341,-3.14159,-0
0.342,-3.14159,-0
0.343,-3.14159,-0
0.344,-3.14159,-0
0.345,-3.14159,-0
0.346,-3.14159,-0
0.347,-3.14159,-0
0.348,-3.14159,-0
0.349,-3.14159,-0
0.35,-3.14159,-0
0.351,-3.14159,-0
0.352,-3.14159,-0
0.353,-3.14159,-0
0.354,-3.14159,-0
0.355,-3.14159,-0
0.356,-3.14159,-0
0.357,-3.14159,-0
0.358,-3.14159,-0
0.359,-3.14159,-0
0.36,-3.14159,-0
0.361,-3.14159,-0
0.362,-3.14159,-0
0.363,-3.14159,-0
0.364,-3.14159,-0
0.365,-3.14159,-0
0.366,-3.14159,-0
0.367,-3.14159,-0
0.368,-3.14159,-0
0.369,-3.14159,-0
0.37,-3.14159,-0
0.371,-3.14159,-0
0.372,-3.14159,-0
0.373,-3.14159,-0
0.374,-3.14159,-0
0.375,-3.14159,-0
0.376,-3.14159,-0
0.377,-3.14159,-0
0.378,-3.14159,-0
0.379,-3.14159,-0
0.38,-3.14159,-0
0.381,-3.14159,-0
0.382,-3.14159,-0
0.383,-3.14159,-0
0.384,-3.14159,-0
0.385,-3.14159,-0
0.386,-3.14159,-0
0.387,-3.14159,-0
0.388,-3.14159,-0
0.389,-3.14159,-0
0.39,-3.14159,-0
0.391,-3.14159,-0
0.392,-3.14159,-0
0.393,-3.14159,-0
0.394,-3.14159,-0
0.395,-3.14159,-0
0.396,-3.14159,-0
0.397,-3.14159,-0
0.398,-3.14159,-0
0.399,-3.14159,-0
0.4,-3.14159,-0
0.401,-3.14159,-0
0.402,-3.14159,-0
0.403,-3.14159,-0
0.404,-3.14159,-0
0.405,-3.14159,-0
0.406,-3.14159,-0
0.407,-3.14159,-0
0.408,-3.14159,-0
0.409,-3.14159,-0
0.41,-3.14159,-0
0.411,-3.14159,-0
0.412,-3.14159,-0
0.413,-3.14159,-0
0.414,-3.14159,-0
0.415,-3.14159,-0
0.416,-3.14159,-0
0.417,-3.14159,-0
0.418,-3.14159,-0
0.419,-3.14159,-0
0.42,-3.14159,-0
0.421,-3.14159,-0
0.422,-3.14159,-0
0.423,-3.14159,-0
0.424,-3.14159,-0
0.425,-3.14159,-0
0.426,-3.14159,-0
0.427,-3.14159,-0
0.428,-3.14159,-0
0.429,-3.14159,-0
0.43,-3.14159,-0
0.431,-3.14159,-0
0.432,-3.14159,-0
0.433,-3.14159,-0
0.434,-3.14159,-0
0.435,-3.14159,-0
0.436,-3.14159,-0
0.437,-3.14159,-0
0.438,-3.14159,-0
0.439,-3.14159,-0
0.44,-3.14159,-0
0.441,-3.14159,-0
0.442,-3.14159,-0
0.443,-3.14159,-0
0.444,-3.14159,-0
0.445,-3.14159,-0
0.446,-3.14159,-0
0.447,-3.14159,-0
0.448,-3.14159,-0
0.449,-3.14159,-0
0.45,-3.14159,-0
0.451,-3.14159,-0
0.452,-3.14159,-0
0.453,-3.14159,-0
0.454,-3.14159,-0
0.455,-3.14159,-0
0.456,-3.14159,-0
0.457,-3.14159,-0
0.458,-3.14159,-0
0.459,-3.14159,-0
0.46,-3.14159,-0
0.461,-3.14159,-0
0.462,-3.14159,-0
0.463,-3.14159,-0
0.464,-3.14159,-0
0.465,-3.14159,-0
0.466,-3.14159,-0
0.467,-3.14159,-0
0.468,-3.14159,-0
0.469,-3.14159,-0
0.47,-3.14159,-0
0.471,-3.14159,-0
0.472,-3.14159,-0
0.473,-3.14159,-0
0.474,-3.14159,-0
0.475,-3.14159,-0
0.476,-3.14159,-0
0.477,-3.14159,-0
0.478,-3.14159,-0
0.479,-3.14159,-0
0.48,-3.14159,-0
0.481,-3.14159,-0
0.482,-3.14159,-0
0.483,-3.14159,-0
0.484,-3.14159,-0
0.485,-3.14159,-0
0.486,-3.14159,-0
0.487,-3.14159,-0
0.488,-3.14159,-0
0.489,-3.14159,-0
0.49,-3.14159,-0
0.491,-3.14159,-0
0.492,-3.14159,-0
0.493,-3.14159,-0
0.494,-3.14159,-0
0.495,-3.14159,-0
0.496,-3.14159,-0
0.497,-3.14159,-0
0.498,-3.14159,-0
0.499,-3.14159,-0
0.5,-3.14159,-0
0.501,-3.14159,-0
0.502,-3.14159,-0
0.503,-3.14159,-0
0.504,-3.14159,-0
0.505,-3.14159,-0
0.506,-3.14159,-0
0.507,-3.14159,-0
0.508,-3.14159,-0
0.509,-3.14159,-0
0.51,-3.14159,-0
0.511,-3.14159,-0
0.512,-3.14159,-0
0.513,-3.14159,-0
0.514,-3.14159,-0
0.515,-3.14159,-0
0.516,-3.14159,-0
0.517,-3.14159,-0
0.518,-3.14159,-0
0.519,-3.14159,-0
0.52,-3.14159,-0
0.521,-3.14159,-0
0.522,-3.14159,-0
0.523,-3.14159,-0
0.524,-3.14159,-0
0.525,-3.14159,-0
0.526,-3.14159,-0
0.527,-3.14159,-0
0.528,-3.14159,-0
0.529,-3.14159,-0
0.53,-3.14159,-0
0.531,-3.14159,-0
0.532,-3.14159,-0
0.533,-3.14159,-0
0.534,-3.14159,-0
0.535,-3.14159,-0
0.536,-3.14159,-0
0.537,-3.14159,-0
0.538,-3.14159,-0
0.539,-3.14159,-0
0.54,-3.14159,-0
0.541,-3.14159,-0
0.542,-3.14159,-0
0.543,-3.14159,-0
0.544,-3.14159,-0
0.545,-3.14159,-0
0.546,-3.14159,-0
0.547,-3.14159,-0
0.548,-3.14159,-0
0.549,-3.14159,-0
0.55,-3.14159,-0
0.551,-3.14159,-0
0.552,-3.14159,-0
0.553,-3.14159,-0
0.554,-3.14159,-0
0.555,-3.14159,-0
0.556,-3.14159,-0
0.557,-3.14159,-0
0.558,-3.14159,-0
0.559,-3.14159,-0
0.56,-3.14159,-0
0.561,-3.14159,-0
0.562,-3.14159,-0
0.563,-3.14159,-0
0.564,-3.14159,-0
0.565,-3.14159,-0
0.566,-3.14159,-0
0.567,-3.14159,-0
0.568,-3.14159,-0
0.569,-3.14159,-0
0.57,-3.14159,-0
0.571,-3.14159,-0
0.572,-3.14159,-0
0.573,-3.14159,-0
0.574,-3.14159,-0
0.575,-3.14159,-0
0.576,-3.14159,-0
0.577,-3.14159,-0
0.578,-3.14159,-0
0.579,-3.14159,-0
0.58,-3.14159,-0
0.581,-3.14159,-0
0.582,-3.14159,-0
0.583,-3.14159,-0
0.584,-3.14159,-0
0.585,-3.14159,-0
0.586,-3.14159,-0
0.587,-3.14159,-0
0.588,-3.14159,-0
0.589,-3.14159,-0
0.59,-3.14159,-0
0.591,-3.14159,-0
0.592,-3.14159,-0
0.593,-3.14159,-0
0.594,-3.14159,-0
0.595,-3.14159,-0
0.596,-3.14159,-0
0.597,-3.14159,-0
0.598,-3.14159,-0
0.599,-3.14159,-0
0.6,-3.14159,-0
0.601,-3.14159,-0
0.602,-3.14159,-0
0.603,-3.14159,-0
0.604,-3.14159,-0
0.605,-3.14159,-0
0.606,-3.14159,-0
0.607,-3.14159,-0
0.608,-3.14159,-0
0.609,-3.14159,-0
0.61,-3.14159,-0
0.611,-3.14159,-0
0.612,-3.14159,-0
0.613,-3.14159,-0
0.614,-3.14159,-0
0.615,-3.14159,-0
0.616,-3.14159,-0
0.617,-3.14159,-0
0.618,-3.14159,-0
0.619,-3.14159,-0
0.62,-3.14159,-0
0.621,-3.14159,-0
0.622,-3.14159,-0
0.623,-3.14159,-0
0.624,-3.14159,-0
0.625,-3.14159,-0
0.626,-3.14159,-0
0.627,-3.14159,-0
0.628,-3.14159,-0
0.629,-3.14159,-0
0.63,-3.14159,-0
0.631,-3.14159,-0
0.632,-3.14159,-0
0.633,-3.14159,-0
0.634,-3.14159,-0
0.635,-3.14159,-0
0.636,-3.14159,-0
0.637,-3.14159,-0
0.638,-3.14159,-0
0.639,-3.14159,-0
0.64,-3.14159,-0
0.641,-3.14159,-0
0.642,-3.14159,-0
0.643,-3.14159,-0
0.644,-3.14159,-0
0.645,-3.14159,-0
0.646,-3.14159,-0
0.647,-3.14159,-0
0.648,-3.14159,-0
0.649,-3.14159,-0
0.65,-3.14159,-0
0.651,-3.14159,-0
0.652,-3.14159,-0
0.653,-3.14159,-0
0.654,-3.14159,-0
0.655,-3.14159,-0
0.656,-3.14159,-0
0.657,-3.14159,-0
0.658,-3.14159,-0
0.659,-3.14159,-0
0.66,-3.14159,-0
0.661,-3.14159,-0
0.662,-3.14159,-0
0.663,-3.14159,-0
0.664,-3.14159,-0
0.665,-3.14159,-0
0.666,-3.14159,-0
0.667,-3.14159,-0
0.668,-3.14159,-0
0.669,-3.14159,-0
0.67,-3.14159,-0
0.671,-3.14159,-0
0.672,-3.14159,-0
0.673,-3.14159,-0
0.674,-3.14159,-0
0.675,-3.14159,-0
0.676,-3.14159,-0
0.677,-3.14159,-0
0.678,-3.14159,-0
0.679,-3.14159,-0
0.68,-3.14159,-0
0.681,-3.14159,-0
0.682,-3.14159,-0
0.683,-3.14159,-0
0.684,-3.14159,-0
0.685,-3.14159,-0
0.686,-3.14159,-0
0.687,-3.14159,-0
0.688,-3.14159,-0
0.689,-3.14159,-0
0.69,-3.14159,-0
0.691,-3.14159,-0
0.692,-3.14159,-0
0.693,-3.14159,-0
0.694,-3.14159,-0
0.695,-3.14159,-0
0.696,-3.14159,-0
0.697,-3.14159,-0
0.698,-3.14159,-0
0.699,-3.14159,-0
0.7,-3.14159,-0
0.701,-3.14159,-0
0.702,-3.14159,-0
0.703,-3.14159,-0
0.704,-3.14159,-0
0.705,-3.14159,-0
0.706,-3.14159,-0
0.707,-3.14159,-0
0.708,-3.14159,-0
0.709,-3.14159,-0
0.71,-3.14159,-0
0.711,-3.14159,-0
0.712,-3.14159,-0
0.713,-3.14159,-0
0.714,-3.14159,-0
0.715,-3.14159,-0
0.716,-3.14159,-0
0.717,-3.14159,-0
0.718,-3.14159,-0
0.719,-3.14159,-0
0.72,-3.14159,-0
0.721,-3.14159,-0
0.722,-3.14159,-0
0.723,-3.14159,-0
0.724,-3.14159,-0
0.725,-3.14159,-0
0.726,-3.14159,-0
0.727,-3.14159,-0
0.728,-3.14159,-0
0.729,-3.14159,-0
0.73,-3.14159,-0
0.731,-3.14159,-0
0.732,-3.14159,-0
0.733,-3.14159,-0
0.734,-3.14159,-0
0.735,-3.14159,-0
0.736,-3.14159,-0
0.737,-3.14159,-0
0.738,-3.14159,-0
0.739,-3.14159,-0
0.74,-3.14159,-0
0.741,-3.14159,-0
0.742,-3.14159,-0
0.743,-3.14159,-0
0.744,-3.14159,-0
0.745,-3.14159,-0
0.746,-3.14159,-0
0.747,-3.14159,-0
0.748,-3.14159,-0
0.749,-3.14159,-0
0.75,-3.14159,-0
0.751,-3.14159,-0
0.752,-3.14159,-0
0.753,-3.14159,-0
0.754,-3.14159,-0
0.755,-3.14159,-0
