t,theta,alpha,theta_dot,alpha_dot,voltage
0.504000,0.514619,2.159359,-4.301939,13.973608,-2.500000
0.506000,0.505471,2.187785,-4.851723,14.455970,-2.500000
0.508000,0.495189,2.217201,-5.436368,14.965323,-2.500000
0.510000,0.483700,2.247666,-6.059571,15.505029,-2.500000
0.512000,0.470922,2.279244,-6.725549,16.078973,-2.500000
0.514000,0.456766,2.312008,-7.439124,16.691664,-2.500000
0.516000,0.441131,2.346040,-8.205812,17.348338,-2.500000
0.518000,0.423903,2.381435,-9.031919,18.055082,-2.500000
0.520000,0.404958,2.418299,-9.924639,18.818960,-2.500000
0.522000,0.384155,2.456754,-10.892121,19.648135,-2.500000
0.524000,0.361334,2.496941,-11.943486,20.551946,-2.500000
0.526000,0.336318,2.539019,-13.088704,21.540882,-2.500000
0.528000,0.308910,2.583169,-14.338215,22.626327,-2.500000
0.530000,0.278889,2.629596,-15.702031,23.819828,-2.500000
0.532000,0.246020,2.678527,-17.187906,25.131472,-2.500000
0.534000,0.210055,2.730204,-18.797830,26.566621,-2.500000
0.536000,0.170752,2.784873,-20.521773,28.119873,-2.500000
0.538000,0.127912,2.842746,-22.327403,29.764894,-2.500000
0.540000,0.081433,2.903953,-24.145469,31.439566,-2.500000
0.542000,0.031402,2.968449,-25.854535,33.030008,-2.500000
0.544000,-0.021795,3.035904,-27.277849,34.366214,-2.500000
0.546000,-0.077384,3.105612,-28.213791,35.251365,-2.500000
0.548000,-0.134220,-3.106680,-28.508705,35.534468,-2.500000
0.550000,-0.190969,-3.035858,-28.133929,35.187903,-2.500000
0.552000,-0.246381,-2.966277,-27.199799,34.321378,-2.500000
0.554000,-0.299520,-2.898796,-25.893460,33.118918,-2.500000
0.556000,-0.349831,-2.833904,-24.399528,31.759335,-2.500000
0.558000,-0.397086,-2.771775,-22.856019,30.373182,-2.500000
0.560000,-0.441280,-2.712377,-21.348466,29.038302,-2.500000
0.562000,-0.482535,-2.655562,-19.921994,27.792944,-2.500000
0.564000,-0.521035,-2.601136,-18.595833,26.650717,-2.500000
0.566000,-0.556988,-2.548890,-17.374409,25.611730,-2.500000
0.568000,-0.590600,-2.498624,-16.254453,24.669524,-2.500000
0.570000,-0.622069,-2.450154,-15.229141,23.814995,-2.500000
0.572000,-0.651575,-2.403312,-14.290358,23.038445,-2.500000
0.574000,-0.679283,-2.357954,-13.429872,22.330581,-2.500000
0.576000,-0.705341,-2.313950,-12.639903,21.682936,-2.500000
0.578000,-0.729884,-2.271187,-11.913355,21.088001,-2.500000
0.580000,-0.753033,-2.229567,-11.243888,20.539214,-2.500000
0.582000,-0.774894,-2.189003,-10.625894,20.030884,-2.500000
0.584000,-0.795567,-2.149420,-10.054444,19.558088,-2.500000
0.586000,-0.814993,-2.110826,-9.379876,19.042174,-0.173902
0.588000,-0.833116,-2.073229,-8.750229,18.560949,-0.123294
0.590000,-0.850020,-2.036562,-8.161122,18.110428,-0.075691
0.592000,-0.865784,-2.000769,-7.608738,17.687189,-0.030949
0.594000,-0.880476,-1.965798,-7.089736,17.288284,0.011068
0.596000,-0.894162,-1.931602,-6.601188,16.911161,0.050488
0.598000,-0.906899,-1.898140,-6.140513,16.553603,0.087428
0.600000,-0.918741,-1.865376,-5.705434,16.213674,0.122000
0.602000,-0.929736,-1.833275,-5.293935,15.889679,0.154309
0.604000,-0.939930,-1.801808,-4.904224,15.580125,0.184453
0.606000,-0.949366,-1.770946,-4.534704,15.283693,0.212524
0.608000,-0.958081,-1.740665,-4.183953,14.999214,0.238612
0.610000,-0.966113,-1.710942,-3.850696,14.725645,0.262800
0.612000,-0.973495,-1.681756,-3.533790,14.462053,0.285167
0.614000,-0.980258,-1.653088,-3.232208,14.207603,0.305789
0.616000,-0.986433,-1.624920,-2.945026,13.961540,0.324739
0.618000,-0.992047,-1.597236,-2.671412,13.723182,0.342085
0.620000,-0.997127,-1.570022,-2.410616,13.491908,0.357894
0.622000,-1.001622,-1.543264,-2.086396,13.268186,1.892281
0.624000,-1.005481,-1.516944,-1.774865,13.052355,1.881235
0.626000,-1.008729,-1.491049,-1.475154,12.843874,1.871813
0.628000,-1.011389,-1.465564,-1.186468,12.642259,1.863927
0.630000,-1.013482,-1.440476,-0.908075,12.447077,1.857500
0.632000,-1.015028,-1.415772,-0.639304,12.257940,1.852461
0.634000,-1.016045,-1.391440,-0.379535,12.074502,1.848750
0.636000,-1.016552,-1.367470,-0.128191,11.896450,1.846313
0.638000,-1.016563,-1.343851,0.115261,11.723508,1.845101
0.640000,-1.016095,-1.320573,0.351322,11.555427,1.845073
0.642000,-1.015163,-1.297626,0.580457,11.391987,1.846193
0.644000,-1.013778,-1.275002,0.803107,11.232991,1.848427
0.646000,-1.011954,-1.252692,1.019686,11.078267,1.851750
0.648000,-1.009703,-1.230686,1.230586,10.927665,1.856138
0.650000,-1.007035,-1.208978,1.436182,10.781055,1.861571
0.652000,-1.003961,-1.187560,1.636832,10.638325,1.868035
0.654000,-1.000491,-1.166422,1.832878,10.499383,1.875516
0.656000,-0.996632,-1.145559,2.024652,10.364155,1.884007
0.658000,-0.992395,-1.124963,2.212478,10.232582,1.893500
0.660000,-0.987785,-1.104627,2.396668,10.104625,1.903992
0.662000,-0.982810,-1.084542,2.577532,9.980258,1.915484
0.664000,-0.977476,-1.064703,2.755373,9.859474,1.927976
0.666000,-0.971790,-1.045102,2.930494,9.742282,1.941474
0.668000,-0.965756,-1.025731,3.103195,9.628707,1.955985
0.670000,-0.959378,-1.006584,3.273779,9.518791,1.971518
0.672000,-0.952661,-0.987654,3.442550,9.412593,1.988086
0.674000,-0.945609,-0.968931,3.609816,9.310190,2.005704
0.676000,-0.938223,-0.950410,3.775893,9.211678,2.024388
0.678000,-0.930505,-0.932082,3.941102,9.117171,2.044159
0.680000,-0.922458,-0.913938,4.105774,9.026804,2.065039
0.682000,-0.914082,-0.895971,4.270253,8.940733,2.087054
0.684000,-0.905376,-0.878172,4.434894,8.859134,2.110233
0.686000,-0.896341,-0.860531,4.600066,8.782211,2.134605
0.688000,-0.886975,-0.843040,4.766158,8.710191,2.160208
0.690000,-0.877275,-0.825687,4.933576,8.643327,2.187078
0.692000,-0.867239,-0.808462,5.102749,8.581902,2.215257
0.694000,-0.856862,-0.791355,5.274131,8.526232,2.244793
0.696000,-0.846140,-0.774353,5.448203,8.476666,2.275735
0.698000,-0.835066,-0.757443,5.625475,8.433589,2.308140
0.700000,-0.823634,-0.740613,5.806495,8.397428,2.342067
0.702000,-0.811836,-0.723848,5.991846,8.368655,2.377583
0.704000,-0.799662,-0.707132,6.182156,8.347789,2.414760
0.706000,-0.787103,-0.690450,6.378101,8.335404,2.453678
0.708000,-0.774145,-0.673784,6.580408,8.332133,2.494424
0.710000,-0.760778,-0.657117,6.786280,8.335970,2.500000
0.712000,-0.746997,-0.640435,6.995567,8.346862,2.500000
0.714000,-0.732794,-0.623724,7.208655,8.365167,2.500000
0.716000,-0.718160,-0.606969,7.425954,8.391275,2.500000
0.718000,-0.703087,-0.590154,7.647898,8.425608,2.500000
0.720000,-0.687565,-0.573261,7.874946,8.468624,2.500000
0.722000,-0.671583,-0.556273,8.107588,8.520818,2.500000
0.724000,-0.655130,-0.539171,8.346339,8.582725,2.500000
0.726000,-0.638193,-0.521935,8.591750,8.654922,2.500000
0.728000,-0.620758,-0.504544,8.844401,8.738029,2.500000
0.730000,-0.602811,-0.486976,9.104903,8.832713,2.500000
0.732000,-0.584333,-0.469205,9.373900,8.939686,2.500000
0.734000,-0.565309,-0.451208,9.652066,9.059706,2.500000
0.736000,-0.545718,-0.432957,9.940100,9.193572,2.500000
0.738000,-0.525541,-0.414424,10.238718,9.342126,2.500000
0.740000,-0.504756,-0.395578,10.548649,9.506238,2.500000
0.742000,-0.483339,-0.376388,10.870614,9.686799,2.500000
0.744000,-0.461265,-0.356820,11.205309,9.884702,2.500000
0.746000,-0.438509,-0.336837,11.553377,10.100815,2.500000
0.748000,-0.415042,-0.316404,11.915369,10.335950,2.500000
0.750000,-0.392728,-0.297207,10.385031,8.848013,-8.652673
0.752000,-0.373072,-0.280616,9.262677,7.736622,-5.894218
0.754000,-0.355351,-0.265958,8.453626,6.916715,-3.896676
0.756000,-0.339021,-0.252728,7.874310,6.312221,-2.496378
0.758000,-0.323687,-0.240553,7.457605,5.861509,-1.540815
0.760000,-0.309076,-0.229173,7.152888,5.517796,-0.903450
0.762000,-0.294999,-0.218408,6.923676,5.247186,-0.486751
0.764000,-0.281331,-0.208136,6.744563,5.025969,-0.219300
0.766000,-0.267988,-0.198272,6.598336,4.838003,-0.050759
0.768000,-0.254917,-0.188762,6.473585,4.672543,0.053303
0.770000,-0.242080,-0.179568,6.362887,4.522557,0.115873
0.772000,-0.229456,-0.170662,6.261483,4.383509,0.151988
0.774000,-0.217029,-0.162027,6.166358,4.252501,0.171314
0.776000,-0.204787,-0.153648,6.075617,4.127683,0.179985
0.778000,-0.192724,-0.145513,5.988070,4.007877,0.181846
0.780000,-0.180834,-0.137614,5.902966,3.892317,0.179296
0.782000,-0.169111,-0.129942,5.819827,3.780498,0.173827
0.784000,-0.157554,-0.122490,5.738343,3.672072,0.166376
0.786000,-0.146158,-0.115252,5.658302,3.566789,0.157536
0.788000,-0.134920,-0.108221,5.579558,3.464459,0.147694
0.790000,-0.123840,-0.101393,5.502001,3.364929,0.137111
0.792000,-0.112913,-0.094761,5.425547,3.268074,0.125970
0.794000,-0.102137,-0.088320,5.350130,3.173782,0.114407
0.796000,-0.091512,-0.082065,5.275694,3.081955,0.102528
0.798000,-0.081035,-0.075991,5.202192,2.992503,0.090416
0.800000,-0.070704,-0.070094,5.129581,2.905344,0.078141
0.802000,-0.060517,-0.064369,5.057827,2.820400,0.065764
0.804000,-0.050473,-0.058812,4.986897,2.737600,0.053335
0.806000,-0.040570,-0.053418,4.916762,2.656877,0.040899
0.808000,-0.030806,-0.048184,4.847398,2.578165,0.028496
0.810000,-0.021181,-0.043105,4.778782,2.501406,0.016159
0.812000,-0.011691,-0.038178,4.710893,2.426541,0.003919
0.814000,-0.002337,-0.033398,4.643713,2.353517,-0.008198
0.816000,0.006883,-0.028763,4.577226,2.282282,-0.020168
0.818000,0.015971,-0.024269,4.511417,2.212786,-0.031971
0.820000,0.024928,-0.019912,4.446272,2.144983,-0.043589
0.822000,0.033756,-0.015689,4.381779,2.078827,-0.055007
0.824000,0.042455,-0.011596,4.317928,2.014276,-0.066211
0.826000,0.051027,-0.007631,4.254707,1.951287,-0.077190
0.828000,0.059473,-0.003791,4.192110,1.889822,-0.087935
0.830000,0.067795,-0.000072,4.130126,1.829842,-0.098437
0.832000,0.075994,0.003529,4.068749,1.771311,-0.108690
0.834000,0.084070,0.007014,4.007972,1.714192,-0.118689
0.836000,0.092025,0.010386,3.947788,1.658453,-0.128429
0.838000,0.099861,0.013648,3.888191,1.604060,-0.137906
0.840000,0.107578,0.016802,3.829177,1.550981,-0.147120
0.842000,0.115177,0.019852,3.770739,1.499186,-0.156068
0.844000,0.122660,0.022799,3.712874,1.448644,-0.164750
0.846000,0.130028,0.025647,3.655578,1.399327,-0.173165
0.848000,0.137282,0.028397,3.598845,1.351207,-0.181315
0.850000,0.144423,0.031052,3.542672,1.304256,-0.189201
0.852000,0.151453,0.033614,3.487055,1.258449,-0.196825
0.854000,0.158372,0.036086,3.431991,1.213759,-0.204188
